GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
CYRIB	52.113367	13.62877176	22.5566975	30.16299011	50.25567053	0	53.0674884	63.47889444	13.25086276	27.14086792	30.72190203	37.83005411	96.40827681	25.7463222
CYSLTR1	1.132899283	0	0	6.313183977	10.88872861	0	13.2668721	0	0	0	0.620644485	0.652242312	7.112085994	5.597026566
CYSLTR2	6.797395696	19.91897411	0	11.22343818	0	7.954376576	0	24.9381371	0	0	4.034189156	9.131392371	13.43394021	0
CYSTM1	0	4.193468234	4.337826442	10.52197329	14.23910665	0	6.243233929	0	13.25086276	0	8.378700554	11.74036162	35.56042997	17.91048501
CYTH1	47.29854505	80.72426351	59.8620049	59.62451534	29.31580781	103.4068955	23.41212723	63.47889444	71.55465888	41.61599748	56.47864818	82.83477366	79.02317771	48.13442847
CYTH2	8.77996944	12.5804047	6.940522308	2.805859545	9.213539597	31.8175063	19.51010603	11.33551687	15.90103531	52.47234465	6.82708934	15.65381549	9.482781326	0
CYTH3	7.080620516	28.30591058	13.88104462	18.23808704	6.70075607	9.94297072	23.41212723	0	0	16.28452075	17.06772335	4.565696186	3.160927109	19.02989032
CYTH4	1.982573745	0	0	4.910254204	20.10226821	7.954376576	7.02363817	6.801310119	26.50172551	0	2.172255699	6.522423122	4.741390663	0
CYTIP	0	4.193468234	0	2.805859545	0	0	0	20.40393036	10.6006902	12.66573836	0	0	23.70695331	0
CYTOR	1.416124103	0	3.470261154	8.417578636	3.350378035	0	5.462829688	0	0	0	3.41354467	2.608969249	7.112085994	11.19405313
CYYR1	0	7.33856941	16.48374048	12.62636795	18.42707919	0	0	0	0	0	8.99934504	7.826907747	1.580463554	0
CZIB	13.31156657	3.145101176	8.675652885	20.3424817	7.538350579	0	15.60808482	20.40393036	0	0	10.8612785	8.479150059	10.2730131	0
D21S2088E	1.132899283	7.33856941	0	0	0	0	9.364850894	0	29.15189806	0	0	0	0	4.477621253
D2HGDH	4.24837231	2.096734117	12.14591404	0	9.213539597	0	1.560808482	0	21.20138041	0	3.41354467	8.479150059	0	0
DAAM1	10.47931836	25.16080941	10.41078346	5.611719091	25.12783526	0	13.2668721	34.0065506	10.6006902	14.47512956	20.17094578	26.7419348	8.692549548	23.50751158
DAAM2	255.1855634	227.4956517	383.4638575	331.0914263	232.0136789	544.8747955	107.6957853	104.2867552	166.9608707	137.5137308	201.0888133	120.0125855	34.77019819	230.5974945
DAAM2-AS1	0.849674462	0	6.940522308	0	10.88872861	0	0	0	0	0	0.930966728	0	0	0
DAB1	7.647070158	1.048367059	2.602695865	5.611719091	5.025567053	0	0	6.801310119	0	0	6.516767098	3.913453873	15.80463554	6.716431879
DAB2	1.416124103	13.62877176	2.602695865	26.65566568	34.34137486	11.93156486	24.19253148	11.33551687	13.25086276	18.09391195	13.0335342	28.69866174	15.01440377	8.955242506
DAB2IP	21.24186155	22.01570823	34.70261154	16.83515727	20.10226821	31.8175063	35.89859509	0	0	21.71269434	26.68771288	16.95830012	26.86788042	14.55226907
DACH1	2.549023386	3.145101176	8.675652885	0	0.837594509	9.94297072	7.804042411	0	0	0	0.310322243	2.608969249	9.482781326	0
DACH2	0	0	0	0	0	0	4.682425447	0	0	5.428173584	4.654833641	3.261211561	13.43394021	0
DACT1	0	0	0	0	0	0	9.364850894	11.33551687	7.950517653	0	2.172255699	0	0	0
DACT2	0	0	0	0.701464886	3.350378035	0	7.02363817	0	0	18.09391195	1.861933456	0	3.160927109	0
DACT3	43.8998472	62.90202352	32.09991567	28.05859545	28.4782133	19.88594144	30.4357654	45.34206746	37.10241572	39.80660628	35.37673567	30.00314636	17.3850991	91.79123568
DAD1	3.965147489	10.48367059	3.470261154	11.92490307	0	0	0	0	21.20138041	18.09391195	3.723866913	6.522423122	3.951158886	0
DAG1	31.43795509	64.99875763	48.58365615	17.53662216	41.04213093	103.4068955	28.09455268	0	10.6006902	66.9474742	27.30835736	30.00314636	31.60927109	77.23896661
DAGLA	6.514170875	0	5.205391731	0	45.23010348	0	0	0	0	3.618782389	6.82708934	9.131392371	0	0
DAGLB	16.71026442	7.33856941	10.41078346	11.92490307	8.375945088	0	31.21616965	0	0	0	4.344511398	10.435877	31.60927109	1.119405313
DALRD3	1.982573745	5.241835293	3.470261154	0	3.350378035	0	0	0	0	0	1.861933456	9.783634684	0	0
DANCR	18.12638852	5.241835293	35.57017683	8.417578636	19.2646737	0	14.04727634	11.33551687	7.950517653	0	6.82708934	5.87018081	15.80463554	3.35821594
DANT2	22.37476083	14.67713882	13.88104462	7.014648863	21.77745723	0	16.38848906	18.13682698	26.50172551	0	6.82708934	26.08969249	3.951158886	6.716431879
DAP	9.346419082	11.53203764	36.43774212	16.83515727	15.91429567	0	23.41212723	0	5.300345102	0	8.068378311	19.56726937	33.18973464	4.477621253
DAP3	18.40961334	24.11244235	15.61617519	24.55127102	10.05113411	7.954376576	24.97293572	9.068413492	0	16.28452075	13.0335342	23.48072324	13.43394021	0
DAPK1	8.77996944	15.72550588	2.602695865	7.71611375	15.91429567	5.965782432	17.16889331	0	50.35327847	28.95025911	26.37739063	16.30605781	9.482781326	34.70156471
DAPK2	19.2592878	15.72550588	12.14591404	8.417578636	5.025567053	23.86312973	4.682425447	2.267103373	79.50517653	5.428173584	14.27482317	3.913453873	5.53162244	0
DAPK3	0	8.386936469	6.940522308	4.910254204	15.91429567	15.90875315	10.14525513	0	18.55120786	3.618782389	1.861933456	0.652242312	6.321854217	0
DAPP1	0	0	0	1.402929773	0	0	0	18.13682698	0	18.09391195	0	4.565696186	3.951158886	0
DARS1	18.12638852	19.91897411	1.735130577	17.53662216	25.12783526	31.8175063	14.04727634	0	21.20138041	47.04417106	16.44707887	15.00157318	14.22417199	53.73145504
DARS1-AS1	2.832248207	0	14.7486099	0	0	0	11.70606362	0	10.6006902	0	0.310322243	0	6.321854217	0
DARS2	1.699348924	6.290202352	0	4.910254204	0	7.954376576	0	9.068413492	10.6006902	9.046955973	12.41288971	3.913453873	14.22417199	0
DAW1	2.265798565	0	2.602695865	0	0	0	2.341212723	0	0	0	0.310322243	0	0	0
DAZAP1	59.19398752	29.35427764	23.42426279	30.864455	39.36694191	31.8175063	37.45940357	29.47234385	21.20138041	43.42538867	40.34189156	17.61054243	52.94552907	39.17918596
